"Country","ALPHA3","TotalImports","TotalExports","TobaccoImports","TobaccoExports","PropTobaccoImports","PropTobaccoImportsQuartile","PropTobaccoExports","PropTobaccoExportsQuartile","TobaccoUseMale","TobaccoUseFemale","TobaccoUseAll","TobaccoUseQuartile","LungCancerRateMale","LungCancerRateFemale","LungCancerRateAll","LungCancerRateQuartile","LungCancerRateAllQuartileReadable","PropTobaccoExportsQuartileReadable","PropTobaccoImportsQuartileReadable","TobaccoUseQuartileReadable"
"Malta","MLT",20317929102,22962919268,50873240,19995890,0.00250385951,4,0.000870790415,3,26,18.9,22.4,3,28.2,11.8,20,3,"15.25% - 28.95%","0% - 0.001%","0.002% - 0.04%","20.35% - 25.325%"
"Mauritania","MRT",3944905006,3091542481,12714290,NA,0.003222964807,4,NA,NA,21.3,2.3,11.8,1,3.9,1.3,2.6,1,"0.19% - 5.4%","missing","0.002% - 0.04%","3.3% - 12.175%"
"Mauritius","MUS",7538246860,5403470196,60518800,3290350,0.008028232708,4,0.0006089327563,3,37.9,3,20.1,2,17.7,5.4,11.55,2,"5.4% - 15.25%","0% - 0.001%","0.002% - 0.04%","12.175% - 20.35%"
"Moldova","MDA",6624660972,3659009037,54345180,18819910,0.008203465842,4,0.005143444525,4,20.7,6.5,27.7,4,50.5,10.3,30.4,4,"28.95% - 59.4%","0.002% - 0.048%","0.002% - 0.04%","25.325% - 43.8%"
"Mongolia","MNG",9259602720,8412612740,61042190,3218890,0.006592311986,4,0.0003826266702,2,53.1,7.3,29.6,4,36.8,6.3,21.55,3,"15.25% - 28.95%","0% - 0.001%","0.002% - 0.04%","25.325% - 43.8%"
"Montenegro","MNE",3602316724,2430069066,15681430,875920,0.004353151375,4,0.0003604506605,2,32.1,33.5,32.8,4,62.9,19.5,41.2,4,"28.95% - 59.4%","0% - 0.001%","0.002% - 0.04%","25.325% - 43.8%"
"Morocco","MAR",57428226804,47129384118,129622470,2919890,0.002257121231,3,6.195476675e-05,1,29.4,0.9,14.9,2,31.9,3.5,17.7,3,"15.25% - 28.95%","0% - 0.001%","0.002% - 0.04%","12.175% - 20.35%"
"Mozambique","MOZ",12270557769,4966110853,5252900,430,0.0004280897494,2,8.658687104e-08,1,22.9,5.7,13.9,2,1.9,1.4,1.65,1,"0.19% - 5.4%","0% - 0.001%","0% - 0.001%","12.175% - 20.35%"
"Myanmar","MMR",20814897954,20877077817,4363950,38967080,0.0002096551234,1,0.001866500683,4,69.5,20.7,43.8,4,19.5,11.9,15.7,3,"15.25% - 28.95%","0.001% - 0.002%","0% - 0.001%","missing"
"Namibia","NAM",5942475140,4560915374,33155830,3369360,0.005579464654,4,0.0007387464409,3,22.8,5.6,13.8,2,5.6,3.1,4.35,1,"0.19% - 5.4%","0% - 0.001%","0.002% - 0.04%","12.175% - 20.35%"
"Nepal","NPL",14176873281,2659663943,514890,NA,3.631900983e-05,1,NA,NA,45.4,11.8,26.5,4,14.8,16.3,15.55,3,"15.25% - 28.95%","missing","0% - 0.001%","25.325% - 43.8%"
"Netherlands","NLD",6.62e+11,7.51e+11,458913690,412640190,0.000693,2,0.000549,3,24,19,21.5,3,34.5,32.7,33.6,4,"28.95% - 59.4%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"New Zealand","NZL",57670097999,58307831673,105979890,39163430,0.001837692213,3,0.0006716667191,3,14.6,11.8,13.2,2,24.2,26.4,25.3,3,"15.25% - 28.95%","0% - 0.001%","0.001% - 0.002%","12.175% - 20.35%"
"Niger","NER",3396076034,1475283080,46110270,336840,0.01357751403,4,0.0002283222824,2,14.2,1.2,7.7,1,0.89,0.04,0.465,1,"0.19% - 5.4%","0% - 0.001%","0.002% - 0.04%","3.3% - 12.175%"
"Nigeria","NGA",88741069129,63726878125,11988860,15547560,0.0001350993415,1,0.0002439717817,2,6.5,0.5,3.5,1,1.6,1,1.3,1,"0.19% - 5.4%","0% - 0.001%","0% - 0.001%","3.3% - 12.175%"
"Norway","NOR",1.41e+11,1.47e+11,158009120,17800,0.00112,2,1.21e-07,1,17.7,15.8,16.8,2,30.9,29.2,30.05,4,"28.95% - 59.4%","0% - 0.001%","0.001% - 0.002%","12.175% - 20.35%"
"Oman","OMN",32568530559,43583094928,315070330,472038080,0.009674072628,4,0.01083076089,4,16.3,0.4,11.5,1,7.1,1.5,4.3,1,"0.19% - 5.4%","0.002% - 0.048%","0.002% - 0.04%","3.3% - 12.175%"
"Pakistan","PAK",62624563954,30136171703,188930,1402120,3.016867313e-06,1,4.65261485e-05,1,31.3,6.9,19.4,2,11.5,2.6,7.05,2,"5.4% - 15.25%","0% - 0.001%","0% - 0.001%","12.175% - 20.35%"
"Panama","PAN",29321995400,27602938300,122319810,101276890,0.004171605934,4,0.003669061927,4,8.4,2.4,5.4,1,10.4,7.8,9.1,2,"5.4% - 15.25%","0.002% - 0.048%","0.002% - 0.04%","3.3% - 12.175%"
