Country,ALPHA3,TotalImports,TotalExports,TobaccoImports,TobaccoExports,PropTobaccoImports,PropTobaccoImportsQuartile,PropTobaccoExports,PropTobaccoExportsQuartile,TobaccoUsePercent,TobaccoUseQuartile
Togo,TGO,2260740966,1665137367,15327470,318900,0.006779844,4,0.000191516,2,6.2,1
Turkey,TUR,2.28E+11,2.48E+11,148752600,470514970,0.000651,2,0.0019,4,30.8,4
Uganda,UGA,7866761620,6048575655,14415780,7172260,0.001832492,3,0.001185777,3,6.3,1
Ukraine,UKR,75832830346,63448556040,47588210,332599640,0.000627541,2,0.005242036,4,23.7,3
United Arab Emirates,ARE,2.96E+11,4.04E+11,643528760,4257730680,0.00218,3,0.0105,4,15,2
United Kingdom,GBR,9.19E+11,8.93E+11,426852570,3451310,0.000465,2,3.87E-06,1,7.7,1
United States,USA,3.12E+12,2.52E+12,397105380,834693900,0.000127,1,0.000331,2,22.4,3
Uruguay,URY,13383202587,16991760618,4630750,15701030,0.000346012,2,0.000924038,3,20.8,3
Uzbekistan,UZB,26620511130,17026594789,1120880,13002260,4.21E-05,1,0.000763644,3,17.4,2
Vietnam,VNM,2.53E+11,2.65E+11,11840,264655940,4.67E-08,1,0.001000174,3,25.5,4
Yemen,YEM,10485642191,1561767813,15957650,NA,0.001521857,3,NA,NA,21.5,3
Zambia,ZMB,7961078355,8073235066,967370,142260,0.000121512,1,1.76E-05,1,12.1,1
Zimbabwe,ZWE,6176926696,6026541180,8310,15357640,1.35E-06,1,0.002548334,4,9.9,1
